committee,date,alderman,status
Committee on Education and Child Development,5/2/12 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,5/2/12 0:00,"Beale, Anthony",1
Committee on Education and Child Development,5/2/12 0:00,"Colon, Rey",1
Committee on Education and Child Development,5/2/12 0:00,"Dowell, Pat",0
Committee on Education and Child Development,5/2/12 0:00,"Solis, Daniel",0
Committee on Education and Child Development,5/2/12 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,5/2/12 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,5/2/12 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,5/2/12 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,5/2/12 0:00,"Osterman, Harry",0
Committee on Education and Child Development,5/2/12 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,5/2/12 0:00,"O'Shea, Matthew J.",0
Committee on Education and Child Development,3/6/12 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,3/6/12 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,3/6/12 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,3/6/12 0:00,"Burnett, Jr., Walter",1
Committee on Education and Child Development,3/6/12 0:00,"Osterman, Harry",1
Committee on Education and Child Development,3/6/12 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,3/6/12 0:00,"Beale, Anthony",1
Committee on Education and Child Development,3/6/12 0:00,"Colon, Rey",0
Committee on Education and Child Development,3/6/12 0:00,"Dowell, Pat",1
Committee on Education and Child Development,3/6/12 0:00,"Solis, Daniel",0
Committee on Education and Child Development,3/6/12 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,3/6/12 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,3/6/12 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,3/6/12 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,3/6/12 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,3/6/12 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,3/6/12 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,11/20/12 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,11/20/12 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,11/20/12 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,11/20/12 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,11/20/12 0:00,"Osterman, Harry",1
Committee on Education and Child Development,11/20/12 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,11/20/12 0:00,"Beale, Anthony",1
Committee on Education and Child Development,11/20/12 0:00,"Colon, Rey",0
Committee on Education and Child Development,11/20/12 0:00,"Dowell, Pat",1
Committee on Education and Child Development,11/20/12 0:00,"Solis, Daniel",1
Committee on Education and Child Development,11/20/12 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,11/20/12 0:00,"Munoz, Ricardo",1
Committee on Education and Child Development,11/20/12 0:00,"Maldonado, Roberto",1
Committee on Education and Child Development,11/20/12 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,11/20/12 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,11/20/12 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,11/20/12 0:00,"O'Shea, Matthew J.",1
