Alderman,Committee,Start,End
"u'Newsome, Shirley'","u'Committee on Energy, Environmental Protection and Public Utilities'",1/13/11,5/16/11
"u'Newsome, Shirley'",u'Committee on Historical Landmark Preservation',1/13/11,5/16/11
"u'Newsome, Shirley'",u'Committee on Parks and Recreation',1/13/11,5/16/11
"u'Olivo, Frank'",u'Committee on Aviation',5/21/07,5/16/11
"u'Olivo, Frank'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Olivo, Frank'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Olivo, Frank'",u'Committee on Finance',5/21/07,5/16/11
"u'Olivo, Frank'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Olivo, Frank'",u'Committee on Zoning',5/21/07,5/16/11
"u'Olivo, Frank'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Pope, John'",u'Committee on Buildings',5/21/07,5/16/11
"u'Pope, John'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Pope, John'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Pope, John'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Reboyras, Ariel'",u'Committee on Buildings',5/21/07,5/16/11
"u'Reboyras, Ariel'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Reboyras, Ariel'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Reilly, Brendan'",u'Committee on Buildings',5/21/07,5/16/11
"u'Reilly, Brendan'",u'Committee on Health',5/21/07,5/16/11
"u'Reilly, Brendan'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Rice, John'",u'Committee on Aviation',10/7/09,5/16/11
"u'Rice, John'","u'Committee on Committees, Rules and Ethics'",10/7/09,5/16/11
"u'Rice, John'","u'Committee on Economic, Capital and Technology Development'",10/7/09,5/16/11
"u'Rice, John'",u'Committee on Housing and Real Estate',10/7/09,5/16/11
"u'Rice, John'",u'Committee on License and Consumer Protection',10/7/09,5/16/11
"u'Rice, John'",u'Committee on Parks and Recreation',10/7/09,5/16/11
"u'Rugai, Virginia'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Rugai, Virginia'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Rugai, Virginia'","u'Committee on Economic, Capital and Technology Development'",5/21/07,5/16/11
"u'Rugai, Virginia'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Rugai, Virginia'",u'Committee on Finance',5/21/07,5/16/11
"u'Rugai, Virginia'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Rugai, Virginia'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Rugai, Virginia'",u'Committee on Transportation and Public Way',5/21/07,5/16/11
"u'Rugai, Virginia'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Schulter, Eugene'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Finance',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Transportation and Public Way',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Committee on Zoning',5/21/07,5/16/11
"u'Schulter, Eugene'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Buildings',5/21/07,5/16/11
"u'Shiller, Helen'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Finance',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Health',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Housing and Real Estate',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on Human Relations',5/21/07,5/16/11
"u'Shiller, Helen'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Shiller, Helen'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Smith, Ed'",u'Committee on Buildings',5/21/07,5/16/11
"u'Smith, Ed'",u'Committee on Health',5/21/07,5/16/11
"u'Smith, Ed'",u'Committee on Zoning',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Buildings',5/21/07,5/16/11
"u'Smith, Mary Ann'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Finance',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Smith, Mary Ann'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Solis, Daniel'",u'Committee on Education',5/21/07,5/16/11
"u'Solis, Daniel'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Solis, Daniel'",u'Committee on Zoning',5/21/07,5/16/11
"u'Solis, Daniel'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Buildings',5/21/07,5/16/11
"u'Stone, Bernard'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Finance',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Housing and Real Estate',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Stone, Bernard'",u'Committee on Zoning',5/21/07,5/16/11
"u'Stone, Bernard'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Suarez, Regner Ray'",u'Committee on Buildings',5/21/07,5/16/11
"u'Suarez, Regner Ray'",u'Committee on Zoning',5/21/07,5/16/11
"u'Suarez, Regner Ray'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Thomas, Latasha R.'",u'Committee on Buildings',5/21/07,5/16/11
"u'Thomas, Latasha R.'",u'Committee on Education',5/21/07,5/16/11
"u'Thomas, Latasha R.'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Thomas, Latasha R.'",u'Committee on Zoning',5/21/07,5/16/11
"u'Thomas, Latasha R.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Thompson, JoAnn'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Thompson, JoAnn'",u'Committee on Health',5/21/07,5/16/11
"u'Thompson, JoAnn'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Thompson, JoAnn'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Tunney, Thomas'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Tunney, Thomas'",u'Committee on Zoning',5/21/07,5/16/11
"u'Tunney, Thomas'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Waguespack, Scott'",u'Committee on Education',5/21/07,5/16/11
"u'Waguespack, Scott'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Zalewski, Michael R.'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Zalewski, Michael R.'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Zalewski, Michael R.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u""O'Connor, Patrick""",u'Committee on Education',5/21/07,5/16/11
"u""O'Connor, Patrick""",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u""O'Connor, Patrick""",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Smith, Ed'",u'Committee on Aviation',5/21/07,11/30/11
"u'Smith, Ed'",u'Committee on Budget and Government Operations',5/21/07,11/30/11
"u'Smith, Ed'","u'Committee on Committees, Rules and Ethics'",5/21/07,11/30/11
"u'Smith, Ed'",u'Committee on Finance',5/21/07,11/30/11
"u'Jackson, Sandi'",u'City Council',5/21/07,1/1/13
"u'Jackson, Sandi'","u'Committee on Economic, Capital and Technology Development'",5/21/07,1/15/13
"u'Jackson, Sandi'",u'Committee on Health and Environmental Protection',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Committee on Housing and Real Estate',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Committee on Human Relations',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Committee on Public Safety',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Committee on Transportation and Public Way',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Housing and Real Estate; Human Relations',5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Human Relations; Public Safety',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',5/21/07,1/15/13
"u'Jackson, Sandi'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/21/07,1/15/13
"u'Jackson, Sandi'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,1/15/13
"u'Mell, Richard F.'",u'City Council',4/18/75,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Aviation; Finance',5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",5/16/11,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Education and Child Development; Finance',5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',5/16/11,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",5/16/11,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Housing and Real Estate; Human Relations',5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",5/16/11,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,7/23/13
"u'Mell, Richard F.'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",5/21/07,7/23/13
"u'Mell, Richard F.'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/21/07,7/23/13
