Alderman,Committee,Start,End,
"u'Lyle, Freddrenna'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Maldonado, Roberto'",u'Committee on Education',2009-07-29,2011-05-16,
"u'Maldonado, Roberto'","u'Committee on Energy, Environmental Protection and Public Utilities'",2009-07-29,2011-05-16,
"u'Mell, Richard F.'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Mell, Richard F.'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Mell, Richard F.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Mitts, Emma'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Mitts, Emma'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Mitts, Emma'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Mitts, Emma'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Mitts, Emma'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Moore, Joseph'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Moore, Joseph'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Moore, Joseph'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Moore, Joseph'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Moreno, Proco Joe'","u'Committee on Energy, Environmental Protection and Public Utilities'",2010-03-26,2011-05-16,
"u'Moreno, Proco Joe'",u'Committee on Historical Landmark Preservation',2010-03-26,2011-05-16,
"u'Moreno, Proco Joe'",u'Committee on Parks and Recreation',2010-03-26,2011-05-16,
"u'Moreno, Proco Joe'",u'Committee on Special Events and Cultural Affairs',2010-03-26,2011-05-16,
"u'Munoz, Ricardo'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Munoz, Ricardo'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Munoz, Ricardo'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Newsome, Shirley'","u'Committee on Committees, Rules and Ethics'",2011-01-13,2011-05-16,
"u'Newsome, Shirley'","u'Committee on Economic, Capital and Technology Development'",2011-01-13,2011-05-16,
"u'Newsome, Shirley'","u'Committee on Energy, Environmental Protection and Public Utilities'",2011-01-13,2011-05-16,
"u'Newsome, Shirley'",u'Committee on Historical Landmark Preservation',2011-01-13,2011-05-16,
"u'Newsome, Shirley'",u'Committee on Parks and Recreation',2011-01-13,2011-05-16,
"u'Olivo, Frank'",u'Committee on Aviation',2007-05-21,2011-05-16,
"u'Olivo, Frank'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Olivo, Frank'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Olivo, Frank'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Olivo, Frank'",u'Committee on License and Consumer Protection',2007-05-21,2011-05-16,
"u'Olivo, Frank'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Olivo, Frank'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Pope, John'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Pope, John'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Pope, John'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Pope, John'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Reboyras, Ariel'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Reboyras, Ariel'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Reboyras, Ariel'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Reilly, Brendan'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Reilly, Brendan'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Reilly, Brendan'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Rice, John'",u'Committee on Aviation',2009-10-07,2011-05-16,
"u'Rice, John'","u'Committee on Committees, Rules and Ethics'",2009-10-07,2011-05-16,
"u'Rice, John'","u'Committee on Economic, Capital and Technology Development'",2009-10-07,2011-05-16,
"u'Rice, John'",u'Committee on Housing and Real Estate',2009-10-07,2011-05-16,
"u'Rice, John'",u'Committee on License and Consumer Protection',2009-10-07,2011-05-16,
"u'Rice, John'",u'Committee on Parks and Recreation',2009-10-07,2011-05-16,
"u'Rugai, Virginia'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Rugai, Virginia'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Rugai, Virginia'","u'Committee on Economic, Capital and Technology Development'",2007-05-21,2011-05-16,
"u'Rugai, Virginia'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Rugai, Virginia'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Rugai, Virginia'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Rugai, Virginia'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Rugai, Virginia'",u'Committee on Transportation and Public Way',2007-05-21,2011-05-16,
"u'Rugai, Virginia'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Schulter, Eugene'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on License and Consumer Protection',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Transportation and Public Way',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Schulter, Eugene'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Shiller, Helen'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Housing and Real Estate',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on Human Relations',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Committee on License and Consumer Protection',2007-05-21,2011-05-16,
"u'Shiller, Helen'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Smith, Ed'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Smith, Ed'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Smith, Ed'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
