Alderman,Committee,Start,End,
"u'Zalewski, Michael R.'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Zalewski, Michael R.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Zalewski, Michael R.'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Zalewski, Michael R.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Zalewski, Michael R.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Zalewski, Michael R.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Zalewski, Michael R.'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Aviation; Finance',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2011-05-16,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2011-05-16,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Education and Child Development; Finance',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Finance; Housing and Real Estate',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Housing and Real Estate; Human Relations',2011-05-16,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Human Relations; Public Safety',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',2011-05-16,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2011-05-16,2015-05-04,
"u""O'Connor, Mary""","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u""O'Connor, Mary""",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u""O'Connor, Patrick""","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u""O'Connor, Patrick""","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u""O'Connor, Patrick""",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Education and Child Development; Finance',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u""O'Shea, Matthew J.""","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u""O'Shea, Matthew J.""",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Arena, John'",u'Joint Committee: Aviation; Finance',2011-05-16,2015-05-05,
"u'Arena, John'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2011-05-16,2015-05-05,
"u'Arena, John'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-16,2015-05-05,
"u'Arena, John'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2011-05-16,2015-05-05,
"u'Arena, John'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Austin, Carrie M.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Austin, Carrie M.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Austin, Carrie M.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Austin, Carrie M.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Balcer, James'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Balcer, James'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Balcer, James'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Balcer, James'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Beale, Anthony'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Brookins, Jr., Howard'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Brookins, Jr., Howard'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Brookins, Jr., Howard'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burke, Edward M.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burke, Edward M.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burke, Edward M.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burnett, Jr., Walter'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burnett, Jr., Walter'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Burnett, Jr., Walter'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Burns, William D.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Burns, William D.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cappleman, James'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cappleman, James'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Cappleman, James'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cappleman, James'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cardenas, George A.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cardenas, George A.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Cardenas, George A.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cardenas, George A.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Chandler, Michael D.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Chandler, Michael D.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Chandler, Michael D.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cochran, Willie'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cochran, Willie'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Cochran, Willie'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cochran, Willie'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Colon, Rey'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Colon, Rey'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Colon, Rey'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Colon, Rey'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cullerton, Timothy M.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cullerton, Timothy M.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Cullerton, Timothy M.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Cullerton, Timothy M.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Dowell, Pat'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Dowell, Pat'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Dowell, Pat'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Dowell, Pat'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Fioretti, Bob'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Fioretti, Bob'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Fioretti, Bob'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Fioretti, Bob'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Foulkes, Toni'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Foulkes, Toni'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Foulkes, Toni'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Graham, Deborah L.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Graham, Deborah L.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Graham, Deborah L.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Hairston, Leslie A.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Hairston, Leslie A.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Hairston, Leslie A.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Harris, Michelle A.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Harris, Michelle A.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Harris, Michelle A.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Harris, Michelle A.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Holmes, Natashia'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Holmes, Natashia'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2013-02-13,2015-05-05,
"u'Holmes, Natashia'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Lane, Lona'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Lane, Lona'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Lane, Lona'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Laurino, Margaret'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Laurino, Margaret'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Laurino, Margaret'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Maldonado, Roberto'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Maldonado, Roberto'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Maldonado, Roberto'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Mitts, Emma'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Mitts, Emma'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Mitts, Emma'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Mitts, Emma'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Moore, Joseph'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Moore, Joseph'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Moore, Joseph'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Moreno, Proco Joe'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Moreno, Proco Joe'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Moreno, Proco Joe'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Munoz, Ricardo'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pawar, Ameya'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pawar, Ameya'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pawar, Ameya'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pope, John'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pope, John'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Pope, John'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Pope, John'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Quinn, Marty'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Reboyras, Ariel'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Reboyras, Ariel'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Reboyras, Ariel'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Reilly, Brendan'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Reilly, Brendan'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Reilly, Brendan'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Sawyer, Roderick T.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Silverstein, Debra L.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Solis, Daniel'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Solis, Daniel'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Solis, Daniel'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Sposato, Nicholas'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Sposato, Nicholas'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Suarez, Regner Ray'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Suarez, Regner Ray'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Suarez, Regner Ray'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Suarez, Regner Ray'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Thomas, Latasha R.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Thomas, Latasha R.'",u'Joint Committee: Education and Child Development; Health and Environmental Protection',2014-03-11,2015-05-05,
"u'Thomas, Latasha R.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Thomas, Latasha R.'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Tunney, Thomas'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Tunney, Thomas'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Tunney, Thomas'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Tunney, Thomas'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Waguespack, Scott'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Waguespack, Scott'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Zalewski, Michael R.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Zalewski, Michael R.'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u'Zalewski, Michael R.'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u""O'Connor, Mary""","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u""O'Connor, Mary""",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2011-05-16,2015-05-05,
"u""O'Connor, Mary""","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u""O'Connor, Patrick""","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u""O'Shea, Matthew J.""","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u""O'Shea, Matthew J.""","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-05,
"u'Holmes, Natashia'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2013-02-13,2015-05-14,
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2013-02-13,2015-05-14,
"u'Mell, Deborah'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2013-07-24,2015-05-14,
"u'Mell, Deborah'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2013-07-24,2015-05-14,
"u'Balcer, James'",u'City Council',1997-12-10,2015-05-17,
"u'Chandler, Michael D.'",u'City Council',2011-05-16,2015-05-17,
"u'Colon, Rey'",u'City Council',2003-05-05,2015-05-17,
"u'Cullerton, Timothy M.'",u'City Council',2011-01-13,2015-05-17,
"u'Fioretti, Bob'",u'City Council',2007-05-21,2015-05-17,
"u'Fioretti, Bob'",u'Joint Committee: Education and Child Development; Health and Environmental Protection',2014-03-11,2015-05-17,
"u'Graham, Deborah L.'",u'City Council',2010-03-26,2015-05-17,
"u'Holmes, Natashia'",u'City Council',2013-02-13,2015-05-17,
"u'Lane, Lona'",u'City Council',2006-12-13,2015-05-17,
"u'Pope, John'",u'City Council',1999-05-03,2015-05-17,
"u'Suarez, Regner Ray'",u'City Council',1991-05-06,2015-05-17,
"u'Thomas, Latasha R.'",u'City Council',2000-07-19,2015-05-17,
"u""O'Connor, Mary""",u'City Council',2011-05-16,2015-05-17,
"u'Arena, John'","u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation'",2015-03-11,2015-05-18,
"u'Austin, Carrie M.'","u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation'",2015-03-11,2015-05-18,
"u'Austin, Carrie M.'",u'Joint Committee: Finance; Human Relations',1994-08-03,2015-05-18,
"u'Balcer, James'",u'Committee on Aviation',2007-05-21,2015-05-18,
"u'Balcer, James'",u'Committee on Budget and Government Operations',2007-05-21,2015-05-18,
"u'Balcer, James'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2015-05-18,
"u'Balcer, James'",u'Committee on Finance',2007-05-21,2015-05-18,
"u'Balcer, James'",u'Committee on Health and Environmental Protection',2007-05-21,2015-05-18,
"u'Balcer, James'",u'Committee on Housing and Real Estate',2007-05-21,2015-05-18,
"u'Balcer, James'",u'Committee on Pedestrian and Traffic Safety',2007-05-21,2015-05-18,
